Date,Open,High,Low,Close,Volume
11/17/2022 4:30,0.8916,0.8969,0.8902,0.8942,6612.4004
11/17/2022 5:00,0.8942,0.9,0.8933,0.8938,5975.078
11/17/2022 5:30,0.8938,0.894,0.8903,0.8904,18611.857
11/17/2022 6:00,0.8904,0.8933,0.8871,0.8884,5865.605
11/17/2022 6:30,0.8882,0.9001,0.887,0.9001,17279.9
11/17/2022 7:00,0.9001,0.9055,0.8951,0.9007,6703.26
11/17/2022 7:30,0.9007,0.9058,0.8978,0.8984,6444.8296
11/17/2022 8:00,0.898,0.9048,0.8944,0.8966,7209.487
11/17/2022 8:30,0.8964,0.9039,0.8945,0.8993,8484.834
11/17/2022 9:00,0.8996,0.9059,0.898,0.9015,6826.9297
11/17/2022 9:30,0.9014,0.9058,0.8981,0.9017,6913.022
11/17/2022 10:00,0.9009,0.9017,0.8963,0.8967,5999.6284
11/17/2022 10:30,0.8968,0.8992,0.8931,0.8938,5857.7793
11/17/2022 11:00,0.8937,0.8976,0.893,0.8932,6227.3667
11/17/2022 11:30,0.8935,0.8958,0.8839,0.8857,6519.4375
11/17/2022 12:00,0.8859,0.8859,0.8734,0.8825,9585.755
11/17/2022 12:30,0.8824,0.8877,0.881,0.883,5796.136
11/17/2022 13:00,0.8829,0.8917,0.8825,0.8861,5909.967
11/17/2022 13:30,0.886,0.89,0.8838,0.8892,5854.178
11/17/2022 14:00,0.8893,0.8985,0.8875,0.8961,6436.6367
11/17/2022 14:30,0.896,0.896,0.8857,0.8873,6449.591
11/17/2022 15:00,0.8872,0.8945,0.883,0.8896,5966.587
11/17/2022 15:30,0.8891,0.8966,0.8865,0.8966,5904.8877
11/17/2022 16:00,0.897,0.9018,0.8929,0.8941,6179.6567
11/17/2022 16:30,0.8941,0.8975,0.8924,0.8955,5873.6973
11/17/2022 17:00,0.8952,0.9019,0.8932,0.894,6186.6553
11/17/2022 17:30,0.8942,0.8953,0.8777,0.8811,6727.8887
11/17/2022 18:00,0.8809,0.886,0.8784,0.8823,8670.431
11/17/2022 18:30,0.8824,0.8851,0.8788,0.8816,5740.659
11/17/2022 19:00,0.8815,0.8933,0.8811,0.8887,6183.6445
11/17/2022 19:30,0.8888,0.8947,0.8869,0.8913,5897.278
11/17/2022 20:00,0.8922,0.8949,0.8888,0.8897,5783.8413
11/17/2022 20:30,0.8897,0.8968,0.8894,0.8946,5675.911
11/17/2022 21:00,0.8942,0.8942,0.87,0.88,7407.391
11/17/2022 21:30,0.8802,0.8872,0.8736,0.8758,9083.119
11/17/2022 22:00,0.8751,0.8791,0.8653,0.8701,7775.9854
11/17/2022 22:30,0.8704,0.8842,0.8704,0.8764,6148.34
11/17/2022 23:00,0.8778,0.8995,0.8736,0.8943,7214.9614
11/17/2022 23:30,0.8942,0.8942,0.8785,0.8858,6494.553
11/18/2022 0:00,0.886,0.894,0.8821,0.8927,8995.033
11/18/2022 0:30,0.8924,0.8925,0.8863,0.8907,5739.5474
11/18/2022 1:00,0.8926,0.8942,0.8864,0.888,5937.919
11/18/2022 1:30,0.8882,0.8959,0.888,0.895,5830.148
11/18/2022 2:00,0.8953,0.9023,0.8944,0.8948,6902.5923
11/18/2022 2:30,0.8949,0.899,0.8938,0.8938,7294.4688
11/18/2022 3:00,0.8941,0.8956,0.8916,0.8919,5834.2515
11/18/2022 3:30,0.8918,0.8937,0.8892,0.8901,5837.5693
11/18/2022 4:00,0.89,0.8949,0.8899,0.8926,6337.958
11/18/2022 4:30,0.8924,0.8939,0.8885,0.8918,8565.271
11/18/2022 5:00,0.8919,0.8953,0.8904,0.8932,5803.942
11/18/2022 5:30,0.8935,0.896,0.8929,0.8932,5717.1533
11/18/2022 6:00,0.8932,0.9002,0.8932,0.894,5814.897
11/18/2022 6:30,0.8941,0.899,0.8941,0.8981,5962.7915
11/18/2022 7:00,0.8978,0.8978,0.885,0.8888,6366.8716
11/18/2022 7:30,0.8889,0.8929,0.8867,0.8878,5743.886
11/18/2022 8:00,0.8879,0.9084,0.8877,0.8989,6511.812
11/18/2022 8:30,0.8991,0.9043,0.8949,0.9015,6547.9204
11/18/2022 9:00,0.9022,0.9089,0.9008,0.9072,6090.2314
11/18/2022 9:30,0.9071,0.9074,0.9036,0.9042,5768.3633
11/18/2022 10:00,0.9041,0.9105,0.9017,0.9047,7143.4873
11/18/2022 10:30,0.9045,0.9187,0.9039,0.9177,6971.0522
11/18/2022 11:00,0.9193,0.9239,0.9145,0.918,6066.3022
11/18/2022 11:30,0.9178,0.9274,0.9168,0.9232,6627.0317
11/18/2022 12:00,0.9229,0.9235,0.9121,0.9126,6451.5522
11/18/2022 12:30,0.9123,0.9167,0.9102,0.9104,8368.889
11/18/2022 13:00,0.9106,0.9175,0.9096,0.9124,17185.988
11/18/2022 13:30,0.9123,0.9127,0.9072,0.9074,5811.339
11/18/2022 14:00,0.9082,0.9117,0.9047,0.9068,5966.251
11/18/2022 14:30,0.9068,0.9113,0.9062,0.9091,5842.392
11/18/2022 15:00,0.9087,0.9128,0.9056,0.9066,5877.145
11/18/2022 15:30,0.9066,0.9083,0.902,0.904,22242.475
11/18/2022 16:00,0.9037,0.9067,0.8937,0.898,10274.088
11/18/2022 16:30,0.8981,0.8998,0.8954,0.8976,5893.4683
11/18/2022 17:00,0.8977,0.9017,0.8975,0.8984,5929.102
11/18/2022 17:30,0.8984,0.9006,0.8984,0.9003,5619.681
11/18/2022 18:00,0.8996,0.9059,0.8986,0.905,6012.3184
11/18/2022 18:30,0.9051,0.9061,0.9008,0.905,5896.4697
11/18/2022 19:00,0.9049,0.9089,0.9032,0.9038,6089.5303
11/18/2022 19:30,0.9038,0.9077,0.9024,0.9048,5749.8257
11/18/2022 20:00,0.9056,0.91,0.9048,0.9057,6065.1436
11/18/2022 20:30,0.9056,0.9082,0.9036,0.9041,5695.238
11/18/2022 21:00,0.9039,0.9099,0.9037,0.9077,5828.6606
11/18/2022 21:30,0.9077,0.9089,0.8987,0.9009,6181.7573
11/18/2022 22:00,0.9009,0.9044,0.8991,0.9028,5707.1406
11/18/2022 22:30,0.9028,0.9028,0.8884,0.8965,6057.1016
11/18/2022 23:00,0.8968,0.9038,0.8918,0.9012,6336.1704
11/18/2022 23:30,0.901,0.918,0.901,0.9109,6507.434
11/19/2022 0:00,0.9109,0.9243,0.9049,0.9127,7366.9854
11/19/2022 0:30,0.9128,0.9262,0.9103,0.9161,6608.4883
11/19/2022 1:00,0.9158,0.9222,0.9069,0.9214,6208.6616
11/19/2022 1:30,0.9213,0.9229,0.9055,0.9056,6955.5557
11/19/2022 2:00,0.9052,0.9078,0.8781,0.887,6743.8696
11/19/2022 2:30,0.8872,0.8931,0.8866,0.8908,5786.457
11/19/2022 3:00,0.8909,0.8949,0.8892,0.8929,6821.9634
11/19/2022 3:30,0.8928,0.8977,0.8916,0.8964,5835.561
11/19/2022 4:00,0.8963,0.9012,0.8949,0.8959,5783.964
11/19/2022 4:30,0.896,0.9074,0.8955,0.901,6613.1597
11/19/2022 5:00,0.9016,0.903,0.8989,0.9018,7793.319
11/19/2022 5:30,0.9017,0.9029,0.8998,0.9018,5652.732
11/19/2022 6:00,0.9019,0.9033,0.8999,0.9025,5684.9375
11/19/2022 6:30,0.9023,0.9036,0.9001,0.903,5854.8037
11/19/2022 7:00,0.903,0.9097,0.9021,0.9089,6061.3145
11/19/2022 7:30,0.909,0.9214,0.9082,0.9136,5958.806
11/19/2022 8:00,0.9137,0.9183,0.9085,0.9118,5853.75
11/19/2022 8:30,0.9115,0.92,0.9089,0.9111,5978.22
11/19/2022 9:00,0.9111,0.9144,0.9061,0.9102,5942.075
11/19/2022 9:30,0.9106,0.9113,0.9038,0.9071,5971.804
11/19/2022 10:00,0.9071,0.9071,0.8907,0.8907,6101.5107
11/19/2022 10:30,0.8907,0.8988,0.8893,0.8973,10597.586
11/19/2022 11:00,0.8971,0.9023,0.896,0.8973,5768.3145
11/19/2022 11:30,0.8977,0.8999,0.8942,0.8943,5784.5547
11/19/2022 12:00,0.8943,0.8987,0.891,0.8962,5864.019
11/19/2022 12:30,0.8962,0.9022,0.8937,0.9012,5760.4985
11/19/2022 13:00,0.9012,0.9051,0.8851,0.9011,6327.8154
11/19/2022 13:30,0.9006,0.9079,0.8962,0.8999,5827.316
11/19/2022 14:00,0.8999,0.8999,0.8891,0.8957,5799.4067
11/19/2022 14:30,0.8958,0.8958,0.8891,0.8941,6456.77
11/19/2022 15:00,0.8941,0.8996,0.8935,0.8979,5849.1235
11/19/2022 15:30,0.8979,0.9017,0.8949,0.8962,5919.281
11/19/2022 16:00,0.8961,0.8981,0.8936,0.8936,5820.5103
11/19/2022 16:30,0.8938,0.901,0.8918,0.8983,5815.7725
11/19/2022 17:00,0.8986,0.8996,0.8929,0.893,6061.9897
11/19/2022 17:30,0.893,0.8963,0.8909,0.8917,6885.4165
11/19/2022 18:00,0.8918,0.8925,0.8893,0.8915,6183.798
11/19/2022 18:30,0.8905,0.8936,0.89,0.8918,5859.2603
11/19/2022 19:00,0.8918,0.8965,0.8913,0.8942,5835.1567
11/19/2022 19:30,0.8942,0.8962,0.8925,0.8962,5719.595
11/19/2022 20:00,0.8963,0.8983,0.8939,0.894,5406.448
11/19/2022 20:30,0.8939,0.898,0.893,0.895,5713.2505
11/19/2022 21:00,0.8951,0.8986,0.8906,0.8912,6228.464
11/19/2022 21:30,0.8912,0.9002,0.8909,0.8957,5927.903
11/19/2022 22:00,0.8958,0.8989,0.8943,0.8945,5730.825
11/19/2022 22:30,0.8945,0.9039,0.8902,0.8981,6461.7666
11/19/2022 23:00,0.8984,0.9155,0.8963,0.9141,6098.318
11/19/2022 23:30,0.914,0.9265,0.908,0.908,11719.836
11/20/2022 0:00,0.9079,0.9203,0.9077,0.9147,7367.755
